DATE=05-04-2017
TIME=14:15:32
TLIVE=5990.17
TREAL=6234.51
SPECTRTXT=16384
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	0
55	0
56	0
57	0
58	4
59	15
60	60
61	139
62	327
63	527
64	635
65	725
66	792
67	802
68	839
69	797
70	842
71	876
72	835
73	834
74	872
75	891
76	833
77	977
78	864
79	916
80	913
81	929
82	972
83	1038
84	1046
85	1011
86	995
87	966
88	954
89	913
90	961
91	881
92	933
93	951
94	902
95	945
96	918
97	954
98	998
99	982
100	1038
101	1082
102	1137
103	1129
104	1052
105	1064
106	1001
107	959
108	936
109	849
110	900
111	919
112	898
113	900
114	944
115	900
116	884
117	944
118	933
119	930
120	927
121	942
122	911
123	876
124	910
125	942
126	833
127	877
128	882
129	907
130	853
131	858
132	840
133	877
134	887
135	835
136	931
137	818
138	857
139	852
140	947
141	901
142	971
143	1034
144	1082
145	1054
146	962
147	921
148	867
149	931
150	898
151	875
152	849
153	922
154	837
155	800
156	797
157	844
158	811
159	858
160	862
161	870
162	867
163	864
164	848
165	839
166	851
167	865
168	812
169	863
170	794
171	906
172	835
173	818
174	878
175	867
176	847
177	829
178	823
179	841
180	845
181	873
182	834
183	845
184	851
185	791
186	837
187	882
188	815
189	892
190	814
191	803
192	820
193	824
194	804
195	827
196	802
197	768
198	804
199	786
200	843
201	800
202	850
203	839
204	799
205	866
206	770
207	798
208	798
209	825
210	819
211	806
212	798
213	806
214	874
215	823
216	861
217	775
218	846
219	854
220	830
221	798
222	790
223	774
224	778
225	828
226	835
227	789
228	777
229	822
230	808
231	763
232	770
233	804
234	787
235	811
236	772
237	832
238	829
239	829
240	798
241	820
242	742
243	734
244	779
245	803
246	801
247	785
248	785
249	721
250	786
251	762
252	827
253	750
254	786
255	782
256	775
257	742
258	855
259	784
260	822
261	736
262	811
263	763
264	773
